2539329,20,Long Memorial Drive,Rochester,NY,14623,bjpvcs@rit.edu,1
2398795,30,Memorial Drive,Avon,MA,2322,pxj@rit.edu,2
2093029,250,Hartford Avenue,Bellingham,MA,2019,jameskim@gmail.com,3
2254736,700,Oak Street,Brockton,MA,2301,jackkim@gmail.com,4
1426667,66-4,Parkhurst Rd,Chelmsford,MA,1824,fruitmeup@gmail.com,5
3367565,591,Memorial Dr,Chicopee,MA,1020,guitarsenpai@hotmail.com,6
5501352,137,Teaticket Hwy,East Falmouth,MA,2536,artesano7718@gmail.com,7
3108588,42,Fairhaven Commons Way,Fairhaven,MA,2719,cleanfreak221@friends.edu,8
2295261,374,William S Canning Blvd,Fall River,MA,2721,abhaya.tmkr@gmail.com,9
2550362,121,Worcester Rd,Framingham,MA,1701,daysofourlives3@friends.com,10
1187899,677,Timpany Blvd,Gardner,MA,1440,dinasourisbae@friends.com,11
2168274,337,Russell St,Hadley,MA,1035,fashinismypassion@friends.com,12
1501582,295,Plymouth Street,Halifax,MA,2338,weirdismyjam@friends.com,13
1901567,1775,Washington St,Hanover,MA,2339,tigersuite@rit.edu,14
7382813,280,Washington Street,Hudson,MA,1749,funnyismything@friends.com,15
1673511,20,Long Memorial Drive,Rochester,NY,14623,fruitmeup@gmail.com,16
1199898,11,Jungle Road,Leominster,MA,1453,coffeeeisgoodcoffee@gmail.com,17
3194192,250,Hartford Avenue,Bellingham,MA,2019,jameskim@gmail.com,3
7883384,780,Lynnway,Lynn,MA,1905,endingsoon@hotmail.com,19
1718559,20,Long Memorial Drive,Rochester,NY,14623,bjpvcs@rit.edu,1
9833743,250,Hartford Avenue,Bellingham,MA,2019,jameskim@gmail.com,3
2833233,700,Oak Street,Brockton,MA,2301,jackkim@gmail.com,4
4868432,137,Teaticket Hwy,East Falmouth,MA,2536,artesano7718@gmail.com,7
6875313,66,Parkhurst Rd,Chelmsford,MA,1824,fruitmeup@gmail.com,5
9873211,20,Soojian Dr,Leicester,MA,1524,imanotold@friends.com,16
2135465,780,Lynnway,Lynn,MA,1905,endingsoon@hotmail.com,19
7987043,55,Brooksby Village Way,Danvers,MA,1923,wolverine99@marvel.com,20
7892105,11,Jungle Road,Leominster,MA,1453,coffeeeisgoodcoffee@gmail.com,17
9871840,1775,Washington St,Hanover,MA,2339,tigersuite@rit.edu,14
9870442,337,Russell St,Hadley,MA,1035,fashinismypassion@friends.com,12
7165053,121,Worcester Rd,Framingham,MA,1701,daysofourlives3@friends.com,10
5460135,591,Memorial Dr,Chicopee,MA,1020,guitarsenpai@hotmail.com,6
9870354,1775,Washington St,Hanover,MA,2339,tigersuite@rit.edu,14
7135504,374,William S Canning Blvd,Fall River,MA,2721,abhaya.tmkr@gmail.com,9
9870150,20,Soojian Dr,Leicester,MA,1524,imanotold@friends.com,16
7703541,11,Jungle Road,Leominster,MA,1453,coffeeeisgoodcoffee@gmail.com,17
8701354,301,Massachusetts Ave,Lunenburg,MA,1462,icametorit@rit.edu,18
0157027,700,Oak Street,Brockton,MA,2301,jackkim@gmail.com,4
9870685,30,Memorial Drive,Avon,MA,2322,pxj@rit.edu,2
7608678,20,Soojian Dr,Leicester,MA,1524,imanotold@friends.com,16
8703870,337,Russell St,Hadley,MA,1035,fashinismypassion@friends.com,12
0387058,700,Oak Street,Brockton,MA,2301,jackkim@gmail.com,4
4980387,301,Massachusetts Ave,Lunenburg,MA,1462,icametorit@rit.edu,18
6840870,1775,Washington St,Hanover,MA,2339,tigersuite@rit.edu,14
9706877,677,Timpany Blvd,Gardner,MA,1440,dinasourisbae@friends.com,11
0687035,591,Memorial Dr,Chicopee,MA,1020,guitarsenpai@hotmail.com,6
0587468,295,Plymouth Street,Halifax,MA,2338,weirdismyjam@friends.com,13
1038766,280,Washington Street,Hudson,MA,1749,funnyismything@friends.com,15
0387135,677,Timpany Blvd,Gardner,MA,1440,dinasourisbae@friends.com,11
9870781,137,Teaticket Hwy,East Falmouth,MA,2536,artesano7718@gmail.com,7
3540687,280,Washington Street,Hudson,MA,1749,funnyismything@friends.com,15
0754057,20,Long Memorial Drive,Rochester,NY,14623,bjpvcs@rit.edu,1
